Time (s)	1.000000e+04	dt_sampled - EXTRA_TIME	3.750000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200049e+04	4.186478e+01	6.387431e+00	7.422428e-01	3.190538e-04	3.335294e-01	2.099804e-01	1.767682e-01	-7.375940e-03	-2.038940e-02	1.622150e-03
34	7.200050e+04	4.313503e+01	6.403308e+00	7.393623e-01	-2.897071e-04	3.310436e-01	2.091964e-01	1.766652e-01	-7.148617e-03	-2.026934e-02	1.714968e-03
35	7.200049e+04	4.438379e+01	6.419182e+00	7.365262e-01	2.667876e-04	3.287171e-01	2.086370e-01	1.765400e-01	-6.927061e-03	-2.010187e-02	1.804845e-03
36	7.200049e+04	4.560881e+01	6.434463e+00	7.335934e-01	-2.428600e-04	3.263678e-01	2.082565e-01	1.765370e-01	-6.572598e-03	-1.998509e-02	1.896807e-03
37	7.200051e+04	4.685774e+01	6.449615e+00	7.307958e-01	2.215011e-04	3.239560e-01	2.078823e-01	1.765605e-01	-6.105866e-03	-1.982370e-02	1.985509e-03
38	7.200051e+04	4.812769e+01	6.464601e+00	7.280747e-01	-2.002468e-04	3.213760e-01	2.073589e-01	1.766474e-01	-5.568461e-03	-1.971704e-02	2.072201e-03
39	7.200049e+04	4.939823e+01	6.479401e+00	7.255877e-01	1.808785e-04	3.186979e-01	2.068801e-01	1.767247e-01	-5.055523e-03	-1.956800e-02	2.159420e-03
40	7.200049e+04	5.065087e+01	6.494198e+00	7.230799e-01	-1.626128e-04	3.160299e-01	2.066197e-01	1.768559e-01	-4.632512e-03	-1.946539e-02	2.244018e-03
41	7.200051e+04	5.186778e+01	6.508883e+00	7.205300e-01	1.443829e-04	3.132069e-01	2.065797e-01	1.769259e-01	-4.275266e-03	-1.932257e-02	2.330843e-03
42	7.200049e+04	5.312151e+01	6.523317e+00	7.179412e-01	-1.272469e-04	3.103442e-01	2.067343e-01	1.769836e-01	-4.027981e-03	-1.922446e-02	2.410597e-03
43	7.200049e+04	5.439294e+01	6.536735e+00	7.152501e-01	1.147324e-04	3.076521e-01	2.069358e-01	1.770262e-01	-3.829264e-03	-1.909344e-02	2.495035e-03
44	7.200051e+04	5.564795e+01	6.550016e+00	7.122742e-01	-9.934868e-05	3.051425e-01	2.070133e-01	1.771685e-01	-3.534526e-03	-1.899494e-02	2.572525e-03
45	7.200049e+04	5.686254e+01	6.563390e+00	7.090678e-01	8.705983e-05	3.026304e-01	2.070571e-01	1.773373e-01	-3.296821e-03	-1.886741e-02	2.654795e-03
46	7.200050e+04	5.811786e+01	6.576849e+00	7.058516e-01	-7.361114e-05	3.001361e-01	2.071025e-01	1.775109e-01	-3.195456e-03	-1.876989e-02	2.734252e-03
47	7.200052e+04	5.938993e+01	6.589671e+00	7.026705e-01	6.394107e-05	2.974115e-01	2.071500e-01	1.776952e-01	-3.130691e-03	-1.864923e-02	2.815961e-03
48	7.200050e+04	6.064682e+01	6.601286e+00	6.996103e-01	-5.402710e-05	2.946616e-01	2.071611e-01	1.779118e-01	-3.122233e-03	-1.855179e-02	2.891781e-03
49	7.200049e+04	6.186095e+01	6.613502e+00	6.965598e-01	4.357784e-05	2.919282e-01	2.072691e-01	1.781278e-01	-3.128964e-03	-1.843605e-02	2.964617e-03
50	7.200048e+04	6.312056e+01	6.625626e+00	6.935265e-01	-3.296961e-05	2.891987e-01	2.075589e-01	1.783289e-01	-3.195860e-03	-1.833756e-02	3.038009e-03
51	7.200050e+04	6.437122e+01	6.636476e+00	6.906169e-01	2.366552e-05	2.866320e-01	2.078475e-01	1.785116e-01	-3.292541e-03	-1.822724e-02	3.101169e-03
52	7.200050e+04	6.563755e+01	6.648850e+00	6.878100e-01	-1.346807e-05	2.842157e-01	2.082537e-01	1.785210e-01	-3.294940e-03	-1.812610e-02	3.169213e-03
53	7.200050e+04	6.689892e+01	6.661456e+00	6.851205e-01	3.543415e-06	2.818703e-01	2.087247e-01	1.784627e-01	-3.214095e-03	-1.802361e-02	3.230170e-03
54	7.200051e+04	6.811652e+01	6.672623e+00	6.825423e-01	6.825814e-06	2.794323e-01	2.093952e-01	1.781169e-01	-3.093589e-03	-1.791956e-02	3.293725e-03
