Time (s)	9.993750e+03	dt_sampled - EXTRA_TIME	3.743750e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200481e+04	4.187165e+01	2.626945e+00	1.077481e+00	-5.806366e-05	5.074216e-01	4.237319e-01	3.381032e-01	1.794597e-02	-6.631516e-02	-2.314078e-02
34	7.200483e+04	4.312818e+01	2.661840e+00	1.087758e+00	4.637755e-05	5.056368e-01	4.230115e-01	3.384177e-01	1.655533e-02	-6.605416e-02	-2.257467e-02
35	7.200487e+04	4.438043e+01	2.696205e+00	1.097831e+00	-4.679599e-05	5.041806e-01	4.221666e-01	3.386459e-01	1.519934e-02	-6.581552e-02	-2.203717e-02
36	7.200535e+04	4.562329e+01	2.729985e+00	1.107699e+00	3.478942e-05	5.030879e-01	4.209689e-01	3.387769e-01	1.403797e-02	-6.555431e-02	-2.147692e-02
37	7.200544e+04	4.687082e+01	2.763742e+00	1.117552e+00	-4.051730e-05	5.023044e-01	4.196237e-01	3.388464e-01	1.304178e-02	-6.529558e-02	-2.092495e-02
38	7.200469e+04	4.812651e+01	2.797269e+00	1.127105e+00	3.564946e-05	5.016780e-01	4.185123e-01	3.388019e-01	1.209541e-02	-6.502080e-02	-2.037733e-02
39	7.200456e+04	4.938184e+01	2.830700e+00	1.136132e+00	-4.162325e-05	5.010509e-01	4.175964e-01	3.386462e-01	1.114731e-02	-6.474078e-02	-1.984082e-02
40	7.200462e+04	5.062828e+01	2.864182e+00	1.145126e+00	3.946686e-05	5.004117e-01	4.170188e-01	3.384075e-01	1.025936e-02	-6.446087e-02	-1.930200e-02
41	7.200468e+04	5.187123e+01	2.897136e+00	1.154115e+00	-4.118913e-05	4.995089e-01	4.164207e-01	3.379972e-01	9.227677e-03	-6.418028e-02	-1.878677e-02
42	7.200470e+04	5.312473e+01	2.929831e+00	1.162970e+00	4.064370e-05	4.982238e-01	4.157355e-01	3.374946e-01	8.023893e-03	-6.388494e-02	-1.826479e-02
43	7.200470e+04	5.438107e+01	2.962319e+00	1.171704e+00	-4.485356e-05	4.969322e-01	4.151058e-01	3.370155e-01	6.844579e-03	-6.358766e-02	-1.776843e-02
44	7.200448e+04	5.563115e+01	2.994418e+00	1.180474e+00	4.676886e-05	4.958543e-01	4.142377e-01	3.365828e-01	5.747360e-03	-6.328214e-02	-1.725847e-02
45	7.200450e+04	5.687279e+01	3.026508e+00	1.189097e+00	-5.735517e-05	4.949027e-01	4.130014e-01	3.362952e-01	4.731634e-03	-6.299097e-02	-1.678103e-02
46	7.200438e+04	5.812340e+01	3.058822e+00	1.197795e+00	5.920734e-05	4.940535e-01	4.115171e-01	3.360532e-01	3.864150e-03	-6.269363e-02	-1.626864e-02
47	7.200450e+04	5.938027e+01	3.091347e+00	1.206481e+00	-7.138886e-05	4.933381e-01	4.103305e-01	3.357181e-01	2.947654e-03	-6.241234e-02	-1.577880e-02
48	7.200435e+04	6.063341e+01	3.123988e+00	1.214715e+00	7.800437e-05	4.927341e-01	4.090792e-01	3.352218e-01	2.019401e-03	-6.210944e-02	-1.526914e-02
49	7.200438e+04	6.187754e+01	3.156270e+00	1.222582e+00	-9.134306e-05	4.921926e-01	4.075878e-01	3.346239e-01	8.909981e-04	-6.183629e-02	-1.477423e-02
50	7.200430e+04	6.312449e+01	3.188415e+00	1.230309e+00	1.002589e-04	4.914737e-01	4.060864e-01	3.340226e-01	-3.640054e-04	-6.152838e-02	-1.426358e-02
51	7.200441e+04	6.437761e+01	3.220580e+00	1.238019e+00	-1.216462e-04	4.906991e-01	4.045916e-01	3.335095e-01	-1.573047e-03	-6.124018e-02	-1.376481e-02
52	7.200403e+04	6.562962e+01	3.252771e+00	1.245691e+00	1.354006e-04	4.899540e-01	4.029978e-01	3.329922e-01	-2.795075e-03	-6.093349e-02	-1.325444e-02
53	7.200404e+04	6.687615e+01	3.284493e+00	1.253135e+00	-1.575964e-04	4.890554e-01	4.012947e-01	3.324146e-01	-4.055506e-03	-6.067184e-02	-1.276468e-02
54	7.200401e+04	6.812248e+01	3.316273e+00	1.260644e+00	1.797824e-04	4.882061e-01	3.996615e-01	3.316377e-01	-5.271445e-03	-6.036206e-02	-1.226256e-02
55	7.200381e+04	6.937711e+01	3.348006e+00	1.267484e+00	-2.095702e-04	4.877054e-01	3.982409e-01	3.307738e-01	-6.330746e-03	-6.009334e-02	-1.179462e-02
56	7.200416e+04	7.063583e+01	3.379646e+00	1.273745e+00	2.396545e-04	4.872914e-01	3.967823e-01	3.296708e-01	-7.341838e-03	-5.975671e-02	-1.129911e-02
57	7.200420e+04	7.188792e+01	3.410466e+00	1.279446e+00	-2.933056e-04	4.866556e-01	3.955062e-01	3.288091e-01	-8.191165e-03	-5.950859e-02	-1.085575e-02
58	7.200418e+04	7.313151e+01	3.442109e+00	1.285334e+00	3.317416e-04	4.854600e-01	3.943076e-01	3.273065e-01	-8.994948e-03	-5.912477e-02	-1.034867e-02
59	7.200431e+04	7.437663e+01	3.472856e+00	1.290948e+00	-4.181494e-04	4.839342e-01	3.929709e-01	3.262070e-01	-9.703946e-03	-5.893905e-02	-9.933813e-03
60	7.200391e+04	7.562715e+01	3.504810e+00	1.296958e+00	4.858444e-04	4.821865e-01	3.916861e-01	3.230549e-01	-1.051777e-02	-5.845881e-02	-9.411634e-03
61	7.200359e+04	7.687659e+01	3.534148e+00	1.302179e+00	-6.662814e-04	4.802717e-01	3.899150e-01	3.213674e-01	-1.129932e-02	-5.846015e-02	-9.065184e-03
62	7.191498e+04	7.813880e+01	3.565373e+00	1.307962e+00	8.364034e-04	4.777568e-01	3.874155e-01	3.144674e-01	-1.233687e-02	-5.767703e-02	-8.470633e-03
63	7.191500e+04	7.938266e+01	3.591969e+00	1.311619e+00	-1.455212e-03	4.749726e-01	3.844913e-01	3.135302e-01	-1.343111e-02	-5.820533e-02	-8.350400e-03
64	5.938324e+03	8.124994e+01	3.632901e+00	1.312791e+00	3.546779e-03	4.679598e-01	3.698135e-01	2.983387e-01	-1.632512e-02	-5.744221e-02	-7.512539e-03
65	1.380620e+05	8.124975e+01	3.632720e+00	1.314531e+00	3.191873e-03	4.637481e-01	3.680553e-01	2.973172e-01	-1.489400e-02	-5.646549e-02	-7.473922e-03
66	5.938597e+03	8.374989e+01	3.695430e+00	1.322727e+00	-3.523427e-03	4.673617e-01	3.647231e-01	2.951218e-01	-1.775687e-02	-5.688529e-02	-6.463770e-03
67	1.380618e+05	8.375011e+01	3.695249e+00	1.323266e+00	-3.934734e-03	4.627256e-01	3.642951e-01	2.938251e-01	-1.658143e-02	-5.592414e-02	-6.535070e-03
68	5.938600e+03	8.624986e+01	3.757054e+00	1.330904e+00	3.528324e-03	4.627987e-01	3.609597e-01	2.909339e-01	-1.820712e-02	-5.643982e-02	-5.672016e-03
69	1.380615e+05	8.625041e+01	3.758472e+00	1.330643e+00	3.193148e-03	4.592156e-01	3.615120e-01	2.892883e-01	-1.758518e-02	-5.548920e-02	-5.999838e-03
70	5.938610e+03	8.874984e+01	3.818306e+00	1.336390e+00	-2.281126e-03	4.587891e-01	3.613212e-01	2.896342e-01	-1.771113e-02	-5.544726e-02	-4.883927e-03
71	1.380614e+05	8.874982e+01	3.822099e+00	1.335075e+00	-2.767404e-03	4.555433e-01	3.617174e-01	2.877972e-01	-1.814233e-02	-5.464195e-02	-5.097534e-03
72	5.938598e+03	9.124986e+01	3.878530e+00	1.341253e+00	2.820426e-03	4.551443e-01	3.625013e-01	2.881060e-01	-1.766291e-02	-5.438642e-02	-4.196738e-03
73	1.380614e+05	9.125008e+01	3.884192e+00	1.339086e+00	2.343548e-03	4.519235e-01	3.620645e-01	2.862249e-01	-1.896524e-02	-5.393757e-02	-4.440343e-03
74	5.938597e+03	9.374988e+01	3.938640e+00	1.343389e+00	-1.491850e-03	4.504952e-01	3.631055e-01	2.879511e-01	-1.836043e-02	-5.318936e-02	-3.552412e-03
75	1.380613e+05	9.375002e+01	3.944271e+00	1.341490e+00	-2.057799e-03	4.481716e-01	3.620160e-01	2.858399e-01	-1.951956e-02	-5.320529e-02	-3.714563e-03
76	5.938596e+03	9.624986e+01	3.998440e+00	1.345123e+00	2.285094e-03	4.462003e-01	3.625227e-01	2.872265e-01	-1.945253e-02	-5.229585e-02	-2.818838e-03
77	1.380612e+05	9.625031e+01	4.003442e+00	1.344273e+00	1.723813e-03	4.440021e-01	3.618210e-01	2.851333e-01	-2.041027e-02	-5.242333e-02	-2.988450e-03
78	5.938598e+03	9.874986e+01	4.057291e+00	1.347710e+00	-1.081086e-03	4.421617e-01	3.615228e-01	2.862978e-01	-2.154890e-02	-5.165937e-02	-1.969517e-03
79	1.380611e+05	9.874992e+01	4.061972e+00	1.347903e+00	-1.512069e-03	4.399795e-01	3.613299e-01	2.844579e-01	-2.258233e-02	-5.165339e-02	-2.343819e-03
80	5.938605e+03	1.012499e+02	4.115520e+00	1.351115e+00	1.520881e-03	4.382322e-01	3.595638e-01	2.844776e-01	-2.439996e-02	-5.083666e-02	-9.480939e-04
