Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200330e+04	4.187168e+01	4.437583e+00	-1.733457e-03	-2.129202e-04	9.692498e-01	7.658288e-01	6.673548e-01	-9.156323e-03	-2.573488e-01	1.695342e-03
34	7.200296e+04	4.312790e+01	4.511642e+00	1.088252e-05	1.550143e-04	9.631295e-01	7.594299e-01	6.643585e-01	-8.714768e-03	-2.513643e-01	1.739061e-03
35	7.200295e+04	4.438206e+01	4.583956e+00	1.040825e-03	-1.445958e-04	9.571940e-01	7.523217e-01	6.613692e-01	-8.447399e-03	-2.455082e-01	1.841099e-03
36	7.200309e+04	4.562483e+01	4.654624e+00	1.817070e-03	9.303595e-05	9.510123e-01	7.455238e-01	6.581604e-01	-8.393283e-03	-2.393669e-01	1.939655e-03
37	7.200324e+04	4.687191e+01	4.723252e+00	2.302847e-03	-9.363962e-05	9.448529e-01	7.388855e-01	6.549661e-01	-8.471299e-03	-2.333308e-01	2.102898e-03
38	7.200378e+04	4.812636e+01	4.790162e+00	2.849671e-03	5.475522e-05	9.382897e-01	7.320919e-01	6.515705e-01	-8.657105e-03	-2.269851e-01	2.196305e-03
39	7.200376e+04	4.938316e+01	4.856108e+00	3.653485e-03	-5.910318e-05	9.312888e-01	7.248262e-01	6.482074e-01	-9.142356e-03	-2.206983e-01	2.303565e-03
40	7.200414e+04	5.062899e+01	4.920312e+00	4.437130e-03	2.750013e-05	9.238955e-01	7.173130e-01	6.447957e-01	-9.383093e-03	-2.142220e-01	2.334119e-03
41	7.200419e+04	5.187096e+01	4.983047e+00	4.705151e-03	-3.699215e-05	9.164339e-01	7.097910e-01	6.414002e-01	-9.886769e-03	-2.077342e-01	2.338682e-03
42	7.200458e+04	5.312433e+01	5.044005e+00	4.608667e-03	1.277005e-05	9.086399e-01	7.022044e-01	6.377650e-01	-1.068408e-02	-2.011571e-01	2.272337e-03
43	7.200457e+04	5.438137e+01	5.102749e+00	4.622183e-03	-1.524776e-05	9.006917e-01	6.947295e-01	6.339684e-01	-1.075006e-02	-1.945883e-01	2.212550e-03
44	7.200427e+04	5.563274e+01	5.159365e+00	4.415433e-03	-1.287762e-05	8.928372e-01	6.874141e-01	6.301315e-01	-1.093549e-02	-1.879598e-01	2.192291e-03
45	7.200415e+04	5.687240e+01	5.213874e+00	4.046777e-03	9.072664e-06	8.850894e-01	6.809222e-01	6.263341e-01	-1.109000e-02	-1.814910e-01	2.143174e-03
46	7.200428e+04	5.812349e+01	5.266245e+00	3.839650e-03	-3.310128e-05	8.777378e-01	6.751634e-01	6.226375e-01	-1.131180e-02	-1.750448e-01	2.084980e-03
47	7.200430e+04	5.938029e+01	5.316357e+00	3.790906e-03	2.680038e-05	8.705186e-01	6.696871e-01	6.190705e-01	-1.196593e-02	-1.687189e-01	1.987812e-03
48	7.200389e+04	6.063459e+01	5.363938e+00	3.677327e-03	-4.637199e-05	8.633910e-01	6.641813e-01	6.154026e-01	-1.281153e-02	-1.624733e-01	1.954149e-03
49	7.200379e+04	6.187809e+01	5.409344e+00	3.823248e-03	4.282100e-05	8.568155e-01	6.586893e-01	6.118628e-01	-1.393645e-02	-1.564085e-01	1.866975e-03
50	7.200360e+04	6.312520e+01	5.452371e+00	4.023302e-03	-6.751077e-05	8.503708e-01	6.531736e-01	6.083727e-01	-1.506033e-02	-1.504890e-01	1.726081e-03
51	7.200369e+04	6.437863e+01	5.493275e+00	4.077821e-03	6.621025e-05	8.438982e-01	6.475732e-01	6.050723e-01	-1.595842e-02	-1.447766e-01	1.522609e-03
52	7.200364e+04	6.563102e+01	5.532045e+00	4.007970e-03	-9.545352e-05	8.374822e-01	6.418446e-01	6.016220e-01	-1.719061e-02	-1.393262e-01	1.299362e-03
53	7.200366e+04	6.687630e+01	5.568332e+00	4.253056e-03	9.848354e-05	8.310138e-01	6.364043e-01	5.983042e-01	-1.910376e-02	-1.340760e-01	1.113861e-03
54	7.200340e+04	6.812001e+01	5.602675e+00	4.301953e-03	-1.288133e-04	8.244330e-01	6.310752e-01	5.947753e-01	-2.093590e-02	-1.290353e-01	9.076369e-04
