Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200606e+04	4.187104e+01	2.226264e+00	-1.403167e-02	-7.388945e-03	1.124351e+00	7.900690e-01	6.518594e-01	1.282954e-02	-3.300180e-01	2.438686e-03
34	7.200596e+04	4.312565e+01	2.386703e+00	-1.594986e-02	5.456736e-03	1.131688e+00	7.937602e-01	6.565918e-01	1.469382e-02	-3.205686e-01	2.424873e-03
35	7.200592e+04	4.437776e+01	2.523388e+00	-1.721816e-02	-4.039804e-03	1.134485e+00	7.950359e-01	6.642495e-01	1.602430e-02	-3.273701e-01	2.357870e-03
36	7.200595e+04	4.562721e+01	2.639992e+00	-1.748033e-02	3.030012e-03	1.136096e+00	7.949117e-01	6.665953e-01	1.706724e-02	-3.208769e-01	2.401618e-03
37	7.200602e+04	4.687171e+01	2.747164e+00	-1.685442e-02	-2.383341e-03	1.138724e+00	7.938446e-01	6.712395e-01	1.818324e-02	-3.228332e-01	2.414135e-03
38	7.200611e+04	4.812513e+01	2.846723e+00	-1.544186e-02	1.842648e-03	1.142150e+00	7.921235e-01	6.727573e-01	1.953165e-02	-3.180145e-01	2.498103e-03
39	7.200598e+04	4.937845e+01	2.942104e+00	-1.358048e-02	-1.500008e-03	1.146492e+00	7.909239e-01	6.760300e-01	2.054095e-02	-3.180494e-01	2.519983e-03
40	7.200619e+04	5.062893e+01	3.033336e+00	-1.161582e-02	1.159419e-03	1.150869e+00	7.898633e-01	6.774252e-01	2.235038e-02	-3.140462e-01	2.548532e-03
41	7.200608e+04	5.187349e+01	3.121078e+00	-9.681896e-03	-9.712194e-04	1.155494e+00	7.886977e-01	6.799954e-01	2.554011e-02	-3.129135e-01	2.469148e-03
42	7.200605e+04	5.312360e+01	3.205488e+00	-7.807701e-03	7.524943e-04	1.159994e+00	7.873057e-01	6.812568e-01	2.952342e-02	-3.091848e-01	2.447579e-03
43	7.200623e+04	5.437890e+01	3.287776e+00	-6.009460e-03	-6.456250e-04	1.164230e+00	7.851228e-01	6.833116e-01	3.445923e-02	-3.071989e-01	2.378781e-03
44	7.200628e+04	5.563035e+01	3.367422e+00	-4.670335e-03	4.849859e-04	1.168141e+00	7.828746e-01	6.844882e-01	3.980714e-02	-3.035157e-01	2.288121e-03
45	7.200623e+04	5.687693e+01	3.445379e+00	-3.473895e-03	-4.331821e-04	1.171988e+00	7.811238e-01	6.860278e-01	4.487737e-02	-3.010018e-01	2.207840e-03
46	7.200616e+04	5.812374e+01	3.522224e+00	-2.041152e-03	3.263341e-04	1.175406e+00	7.791281e-01	6.867640e-01	4.833703e-02	-2.974469e-01	2.183445e-03
47	7.200629e+04	5.937850e+01	3.598379e+00	-8.148960e-04	-3.041057e-04	1.177863e+00	7.773129e-01	6.876844e-01	5.102008e-02	-2.946598e-01	2.103692e-03
48	7.200624e+04	6.063251e+01	3.673159e+00	3.312641e-04	2.293545e-04	1.179239e+00	7.751802e-01	6.880318e-01	5.314194e-02	-2.911927e-01	2.061997e-03
49	7.200613e+04	6.188033e+01	3.746197e+00	1.709561e-03	-2.296727e-04	1.179158e+00	7.722867e-01	6.885584e-01	5.434423e-02	-2.881671e-01	1.958853e-03
50	7.200618e+04	6.312585e+01	3.817276e+00	3.622781e-03	1.638086e-04	1.178110e+00	7.687664e-01	6.886603e-01	5.496842e-02	-2.846800e-01	1.879516e-03
51	7.200623e+04	6.437816e+01	3.886564e+00	6.089297e-03	-1.732024e-04	1.176802e+00	7.648982e-01	6.888031e-01	5.570136e-02	-2.814732e-01	1.804542e-03
52	7.200641e+04	6.562878e+01	3.953728e+00	8.904238e-03	1.250131e-04	1.174928e+00	7.609698e-01	6.885727e-01	5.599360e-02	-2.779594e-01	1.705167e-03
53	7.200645e+04	6.687804e+01	4.018883e+00	1.183896e-02	-1.388455e-04	1.172587e+00	7.570918e-01	6.882905e-01	5.565304e-02	-2.746205e-01	1.547085e-03
54	7.200638e+04	6.812241e+01	4.082837e+00	1.501752e-02	1.035146e-04	1.170170e+00	7.528918e-01	6.875641e-01	5.463782e-02	-2.712023e-01	1.337807e-03
55	7.200641e+04	6.937644e+01	4.145077e+00	1.838229e-02	-1.425824e-04	1.167591e+00	7.485409e-01	6.867977e-01	5.337019e-02	-2.678736e-01	1.123466e-03
56	7.200620e+04	7.063149e+01	4.206107e+00	2.191014e-02	1.198968e-04	1.164613e+00	7.439766e-01	6.854599e-01	5.251093e-02	-2.645315e-01	8.939785e-04
57	7.200611e+04	7.188683e+01	4.265328e+00	2.548552e-02	-1.835864e-04	1.160949e+00	7.391775e-01	6.841711e-01	5.221234e-02	-2.611837e-01	6.660172e-04
58	7.200577e+04	7.313303e+01	4.324345e+00	2.879536e-02	1.938665e-04	1.156309e+00	7.340949e-01	6.817284e-01	5.206044e-02	-2.577202e-01	4.175572e-04
59	7.200567e+04	7.438279e+01	4.380193e+00	3.205835e-02	-3.272914e-04	1.151187e+00	7.288201e-01	6.798915e-01	5.179547e-02	-2.546371e-01	2.573267e-04
60	7.200645e+04	7.563119e+01	4.436516e+00	3.473107e-02	3.786712e-04	1.145048e+00	7.231963e-01	6.753103e-01	5.126222e-02	-2.510792e-01	-1.976059e-05
61	7.200640e+04	7.687972e+01	4.487707e+00	3.700963e-02	-7.619757e-04	1.137620e+00	7.163663e-01	6.732327e-01	5.019740e-02	-2.487278e-01	-1.464280e-04
62	7.192341e+04	7.812876e+01	4.539907e+00	3.886798e-02	1.144427e-03	1.128841e+00	7.087782e-01	6.625422e-01	4.921813e-02	-2.446306e-01	-4.510389e-04
63	7.192336e+04	7.937658e+01	4.584311e+00	3.976600e-02	-2.855440e-03	1.120113e+00	7.000893e-01	6.632262e-01	4.873640e-02	-2.438759e-01	-5.409883e-04
64	5.938323e+03	8.124992e+01	4.503041e+00	1.118409e-01	2.677432e-02	1.254032e+00	6.715593e-01	6.317340e-01	1.816333e-01	-2.541449e-01	1.148285e-03
65	1.380613e+05	8.125021e+01	4.655532e+00	3.718771e-02	5.932112e-03	1.089230e+00	6.636865e-01	6.337481e-01	4.381429e-02	-2.358830e-01	-1.333679e-03
66	5.938596e+03	8.374989e+01	4.598857e+00	1.131210e-01	1.330468e-02	1.237242e+00	6.633052e-01	6.278121e-01	1.822927e-01	-2.461592e-01	2.998992e-04
67	1.380613e+05	8.374991e+01	4.750518e+00	3.825712e-02	-8.900957e-03	1.076583e+00	6.535646e-01	6.283600e-01	4.384254e-02	-2.298406e-01	-1.445186e-03
68	5.938596e+03	8.624988e+01	4.685802e+00	1.121729e-01	2.832255e-02	1.212442e+00	6.596288e-01	6.217828e-01	1.826866e-01	-2.395955e-01	-1.825328e-03
69	1.380611e+05	8.625053e+01	4.840022e+00	4.013173e-02	5.044186e-03	1.059797e+00	6.458305e-01	6.223992e-01	4.488197e-02	-2.255199e-01	-2.257169e-03
70	5.938604e+03	8.874992e+01	4.768414e+00	1.114231e-01	1.751165e-02	1.185281e+00	6.574416e-01	6.216317e-01	1.816108e-01	-2.297221e-01	-1.323296e-03
71	1.380611e+05	8.875024e+01	4.925291e+00	4.210820e-02	-5.755397e-03	1.042908e+00	6.416695e-01	6.213635e-01	4.559481e-02	-2.202334e-01	-1.886528e-03
72	5.938596e+03	9.124983e+01	4.843222e+00	1.098143e-01	2.691106e-02	1.159346e+00	6.522880e-01	6.211755e-01	1.781786e-01	-2.215290e-01	-8.374553e-04
73	1.380608e+05	9.125065e+01	5.004575e+00	4.447731e-02	2.837092e-03	1.025540e+00	6.385529e-01	6.200089e-01	4.516020e-02	-2.153068e-01	-1.681909e-03
74	5.938597e+03	9.374982e+01	4.917104e+00	1.071356e-01	2.201538e-02	1.133194e+00	6.431567e-01	6.218746e-01	1.691743e-01	-2.159249e-01	1.309593e-04
75	1.380609e+05	9.375040e+01	5.081007e+00	4.646463e-02	-4.173106e-03	1.006394e+00	6.347213e-01	6.201174e-01	4.303289e-02	-2.106297e-01	-1.145410e-03
76	5.938597e+03	9.624988e+01	4.984802e+00	1.024314e-01	3.072401e-02	1.106020e+00	6.371628e-01	6.208130e-01	1.591113e-01	-2.104212e-01	3.125848e-04
77	1.380610e+05	9.625001e+01	5.154422e+00	4.830135e-02	1.269158e-03	9.874846e-01	6.313064e-01	6.190594e-01	3.899407e-02	-2.056870e-01	-6.785764e-04
78	5.938597e+03	9.874988e+01	5.049203e+00	9.536541e-02	2.847992e-02	1.078736e+00	6.345043e-01	6.192794e-01	1.496304e-01	-2.042853e-01	2.002548e-03
79	1.380610e+05	9.875027e+01	5.224899e+00	4.988728e-02	-3.341522e-03	9.700023e-01	6.288612e-01	6.180937e-01	3.436034e-02	-2.014845e-01	-8.002197e-05
80	5.938604e+03	1.012499e+02	5.109771e+00	8.785032e-02	3.499882e-02	1.051347e+00	6.343881e-01	6.174418e-01	1.396744e-01	-1.962081e-01	3.025961e-03
81	1.380610e+05	1.012506e+02	5.292087e+00	5.063421e-02	2.093928e-04	9.542273e-01	6.260741e-01	6.165696e-01	3.037288e-02	-1.974167e-01	-2.192567e-04
82	5.938597e+03	1.037499e+02	5.167098e+00	7.924708e-02	3.390863e-02	1.027083e+00	6.355747e-01	6.175436e-01	1.313695e-01	-1.889887e-01	4.736076e-03
83	1.380610e+05	1.037509e+02	5.355999e+00	5.058031e-02	-2.879461e-03	9.400642e-01	6.239412e-01	6.157248e-01	2.794514e-02	-1.945586e-01	-4.429507e-04
84	5.938597e+03	1.062499e+02	5.223498e+00	7.295150e-02	3.936926e-02	1.005144e+00	6.361917e-01	6.176836e-01	1.246478e-01	-1.833718e-01	5.687453e-03
85	1.380610e+05	1.062515e+02	5.418725e+00	5.096192e-02	-5.372463e-04	9.278075e-01	6.222121e-01	6.150103e-01	2.746081e-02	-1.917265e-01	-6.958540e-04
86	5.938597e+03	1.087498e+02	5.278708e+00	6.859515e-02	3.979751e-02	9.848934e-01	6.342416e-01	6.190399e-01	1.192954e-01	-1.794104e-01	6.888429e-03
87	1.380610e+05	1.087514e+02	5.480771e+00	5.189609e-02	-2.674877e-03	9.166669e-01	6.199768e-01	6.151966e-01	2.747932e-02	-1.897736e-01	-4.617209e-04
88	5.938597e+03	1.112498e+02	5.329126e+00	6.401173e-02	4.404123e-02	9.654648e-01	6.301101e-01	6.202335e-01	1.141463e-01	-1.764369e-01	6.596526e-03
89	1.380610e+05	1.112511e+02	5.541355e+00	5.287962e-02	-1.115770e-03	9.066416e-01	6.173799e-01	6.154633e-01	2.689840e-02	-1.879023e-01	-3.157419e-05
