Time (s)	1.008750e+04	dt_sampled - EXTRA_TIME	3.837500e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200330e+04	4.187168e+01	1.816449e+00	1.103800e+00	-1.155352e-04	5.964569e-01	5.280529e-01	3.908136e-01	3.996970e-03	-8.450863e-02	-4.266693e-02
34	7.200296e+04	4.312790e+01	1.852489e+00	1.119909e+00	8.672399e-05	5.986418e-01	5.276088e-01	3.908950e-01	1.619777e-03	-8.418319e-02	-4.193133e-02
35	7.200295e+04	4.438206e+01	1.888121e+00	1.135365e+00	-7.998056e-05	6.007112e-01	5.271522e-01	3.911612e-01	-9.730584e-04	-8.392452e-02	-4.125716e-02
36	7.200309e+04	4.562483e+01	1.923749e+00	1.150407e+00	5.188930e-05	6.024711e-01	5.268880e-01	3.914216e-01	-3.889476e-03	-8.358476e-02	-4.053537e-02
37	7.200324e+04	4.687191e+01	1.959288e+00	1.164908e+00	-5.128262e-05	6.039500e-01	5.267734e-01	3.916697e-01	-7.204303e-03	-8.332377e-02	-3.987222e-02
38	7.200378e+04	4.812636e+01	1.994759e+00	1.178963e+00	2.770624e-05	6.053425e-01	5.267600e-01	3.917415e-01	-1.089371e-02	-8.300141e-02	-3.917775e-02
39	7.200376e+04	4.938316e+01	2.030384e+00	1.192433e+00	-3.619352e-05	6.067461e-01	5.270818e-01	3.917280e-01	-1.476600e-02	-8.273660e-02	-3.851603e-02
40	7.200414e+04	5.062899e+01	2.066052e+00	1.205464e+00	2.025375e-05	6.085139e-01	5.274980e-01	3.915525e-01	-1.854454e-02	-8.242577e-02	-3.782268e-02
41	7.200419e+04	5.187096e+01	2.101586e+00	1.218123e+00	-2.354144e-05	6.104996e-01	5.277424e-01	3.913935e-01	-2.192029e-02	-8.217285e-02	-3.717371e-02
42	7.200458e+04	5.312433e+01	2.136896e+00	1.230461e+00	8.791971e-06	6.125520e-01	5.276579e-01	3.911921e-01	-2.510044e-02	-8.189375e-02	-3.651401e-02
43	7.200457e+04	5.438137e+01	2.171744e+00	1.243090e+00	-1.495625e-05	6.147456e-01	5.272833e-01	3.910400e-01	-2.802015e-02	-8.163369e-02	-3.585816e-02
44	7.200427e+04	5.563274e+01	2.206065e+00	1.255809e+00	4.522931e-06	6.168315e-01	5.266671e-01	3.908772e-01	-3.087332e-02	-8.135136e-02	-3.522867e-02
45	7.200415e+04	5.687240e+01	2.240454e+00	1.268459e+00	-1.411523e-05	6.186060e-01	5.263937e-01	3.907345e-01	-3.371070e-02	-8.109070e-02	-3.458876e-02
46	7.200428e+04	5.812349e+01	2.274821e+00	1.281073e+00	9.986884e-07	6.203086e-01	5.268975e-01	3.904750e-01	-3.675995e-02	-8.081751e-02	-3.397631e-02
47	7.200430e+04	5.938029e+01	2.308945e+00	1.294032e+00	-3.506312e-06	6.221425e-01	5.282242e-01	3.901286e-01	-4.003068e-02	-8.058083e-02	-3.335931e-02
48	7.200389e+04	6.063459e+01	2.342730e+00	1.307276e+00	-1.144390e-05	6.237699e-01	5.299205e-01	3.897437e-01	-4.327943e-02	-8.031030e-02	-3.277921e-02
49	7.200379e+04	6.187809e+01	2.376450e+00	1.320254e+00	6.526856e-06	6.251681e-01	5.315677e-01	3.893427e-01	-4.645262e-02	-8.006543e-02	-3.219881e-02
50	7.200360e+04	6.312520e+01	2.409777e+00	1.332374e+00	-1.809604e-05	6.262143e-01	5.332626e-01	3.889354e-01	-4.930442e-02	-7.980988e-02	-3.165309e-02
51	7.200369e+04	6.437863e+01	2.442334e+00	1.343750e+00	1.512348e-05	6.268249e-01	5.347820e-01	3.885634e-01	-5.193014e-02	-7.957317e-02	-3.108729e-02
52	7.200364e+04	6.563102e+01	2.474595e+00	1.354807e+00	-2.547841e-05	6.268569e-01	5.360026e-01	3.881081e-01	-5.423900e-02	-7.929225e-02	-3.054176e-02
53	7.200366e+04	6.687630e+01	2.506581e+00	1.365294e+00	2.183705e-05	6.268470e-01	5.368837e-01	3.877921e-01	-5.622796e-02	-7.905143e-02	-3.000130e-02
54	7.200340e+04	6.812001e+01	2.538751e+00	1.375359e+00	-3.904642e-05	6.271154e-01	5.374428e-01	3.874531e-01	-5.823082e-02	-7.872982e-02	-2.946287e-02
55	7.200313e+04	6.937585e+01	2.570519e+00	1.385116e+00	3.331683e-05	6.275203e-01	5.379636e-01	3.872579e-01	-6.032639e-02	-7.846905e-02	-2.894482e-02
56	7.200341e+04	7.063453e+01	2.602462e+00	1.395178e+00	-4.669622e-05	6.277689e-01	5.383281e-01	3.868718e-01	-6.238840e-02	-7.811902e-02	-2.839983e-02
57	7.200344e+04	7.189005e+01	2.634009e+00	1.404801e+00	3.517483e-05	6.276729e-01	5.385077e-01	3.866430e-01	-6.421621e-02	-7.788420e-02	-2.789792e-02
58	7.200252e+04	7.313580e+01	2.666351e+00	1.414623e+00	-5.028624e-05	6.272383e-01	5.385441e-01	3.857312e-01	-6.593929e-02	-7.748151e-02	-2.731333e-02
59	7.200253e+04	7.438148e+01	2.697429e+00	1.423782e+00	1.097377e-05	6.267543e-01	5.385263e-01	3.852103e-01	-6.773079e-02	-7.733966e-02	-2.684426e-02
60	7.200269e+04	7.562762e+01	2.729597e+00	1.433709e+00	-1.268627e-05	6.260470e-01	5.384836e-01	3.826235e-01	-6.964980e-02	-7.681942e-02	-2.621160e-02
61	7.200242e+04	7.687481e+01	2.759202e+00	1.442988e+00	-1.220585e-04	6.245823e-01	5.380437e-01	3.815341e-01	-7.135129e-02	-7.690891e-02	-2.583628e-02
62	7.191646e+04	7.813601e+01	2.790106e+00	1.452957e+00	2.427959e-04	6.225037e-01	5.374774e-01	3.749614e-01	-7.332110e-02	-7.607942e-02	-2.506866e-02
63	7.191644e+04	7.938412e+01	2.816471e+00	1.460526e+00	-8.271343e-04	6.200277e-01	5.366089e-01	3.745815e-01	-7.486930e-02	-7.672589e-02	-2.500353e-02
64	5.938594e+03	8.124998e+01	2.855655e+00	1.468527e+00	2.307368e-03	6.098497e-01	5.240099e-01	3.554208e-01	-7.507952e-02	-7.567639e-02	-2.280493e-02
65	1.380607e+05	8.125045e+01	2.856953e+00	1.469470e+00	2.467877e-03	6.097004e-01	5.260327e-01	3.575258e-01	-7.623013e-02	-7.492776e-02	-2.378476e-02
66	5.938870e+03	8.374987e+01	2.919628e+00	1.486113e+00	-2.851638e-03	6.091947e-01	5.273889e-01	3.525438e-01	-7.867416e-02	-7.541753e-02	-2.099920e-02
67	1.380616e+05	8.374939e+01	2.920464e+00	1.486770e+00	-3.159522e-03	6.097460e-01	5.281938e-01	3.542322e-01	-7.863388e-02	-7.442088e-02	-2.261078e-02
68	5.938869e+03	8.624988e+01	2.985552e+00	1.503950e+00	3.359305e-03	6.070961e-01	5.290608e-01	3.498089e-01	-8.366169e-02	-7.490046e-02	-1.969432e-02
69	1.380613e+05	8.624984e+01	2.984565e+00	1.505078e+00	2.505906e-03	6.083910e-01	5.296373e-01	3.505326e-01	-8.306725e-02	-7.429508e-02	-2.185158e-02
70	5.938878e+03	8.874988e+01	3.050523e+00	1.521222e+00	-1.091766e-03	6.063613e-01	5.340160e-01	3.497314e-01	-8.780820e-02	-7.369044e-02	-1.858880e-02
71	1.380615e+05	8.874944e+01	3.049557e+00	1.524394e+00	-2.186425e-03	6.070504e-01	5.324637e-01	3.499524e-01	-8.795081e-02	-7.356387e-02	-2.069623e-02
72	5.938868e+03	9.124990e+01	3.114282e+00	1.538797e+00	3.043965e-03	6.052259e-01	5.375819e-01	3.490778e-01	-9.181128e-02	-7.275597e-02	-1.763992e-02
73	1.380613e+05	9.124996e+01	3.114213e+00	1.542976e+00	1.759574e-03	6.065501e-01	5.345625e-01	3.492388e-01	-9.231295e-02	-7.316977e-02	-1.983836e-02
74	5.938868e+03	9.374991e+01	3.174995e+00	1.557127e+00	-2.685087e-04	6.027595e-01	5.410202e-01	3.489773e-01	-9.678730e-02	-7.176188e-02	-1.646410e-02
75	1.380611e+05	9.374995e+01	3.175730e+00	1.560994e+00	-1.561235e-03	6.055201e-01	5.380449e-01	3.488697e-01	-9.607074e-02	-7.268315e-02	-1.883415e-02
76	5.938868e+03	9.624992e+01	3.233093e+00	1.574868e+00	2.470823e-03	6.004015e-01	5.455877e-01	3.487225e-01	-1.005095e-01	-7.126933e-02	-1.551528e-02
77	1.380611e+05	9.624971e+01	3.234754e+00	1.578308e+00	1.204394e-03	6.033169e-01	5.429454e-01	3.485388e-01	-9.869290e-02	-7.218681e-02	-1.787866e-02
78	5.938868e+03	9.874995e+01	3.291533e+00	1.590640e+00	-1.207119e-04	5.975927e-01	5.493045e-01	3.481051e-01	-1.018154e-01	-7.088090e-02	-1.483853e-02
79	1.380611e+05	9.875003e+01	3.293669e+00	1.593904e+00	-1.108834e-03	5.990896e-01	5.471034e-01	3.480573e-01	-1.005870e-01	-7.163185e-02	-1.695224e-02
80	5.938876e+03	1.012499e+02	3.351506e+00	1.605132e+00	1.537703e-03	5.943617e-01	5.519940e-01	3.471569e-01	-1.009928e-01	-7.039391e-02	-1.427206e-02
81	1.380612e+05	1.012499e+02	3.353021e+00	1.607927e+00	8.687783e-04	5.928699e-01	5.505692e-01	3.472741e-01	-1.013977e-01	-7.109407e-02	-1.610551e-02
82	5.938868e+03	1.037499e+02	3.410314e+00	1.618806e+00	-3.920120e-04	5.889091e-01	5.533218e-01	3.458810e-01	-9.951652e-02	-6.960056e-02	-1.384600e-02
83	1.380612e+05	1.037502e+02	3.410730e+00	1.621500e+00	-7.689851e-04	5.853657e-01	5.528935e-01	3.462278e-01	-1.008737e-01	-7.056540e-02	-1.516683e-02
84	5.938868e+03	1.062499e+02	3.467074e+00	1.632672e+00	9.068529e-04	5.812482e-01	5.555900e-01	3.443000e-01	-9.870356e-02	-6.871440e-02	-1.350183e-02
85	1.380611e+05	1.062500e+02	3.465868e+00	1.634574e+00	6.359224e-04	5.780514e-01	5.550846e-01	3.451214e-01	-1.004013e-01	-6.996572e-02	-1.435974e-02
86	5.938868e+03	1.087499e+02	3.521254e+00	1.646458e+00	-4.460946e-04	5.740731e-01	5.593562e-01	3.424860e-01	-9.885659e-02	-6.798530e-02	-1.306806e-02
