Time (s)	9.993750e+03	dt_sampled - EXTRA_TIME	3.743750e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
33	7.200330e+04	4.187168e+01	1.742993e+00	1.033839e+00	-1.100948e-04	5.216008e-01	4.609762e-01	3.643786e-01	2.212758e-02	-7.333164e-02	-3.361002e-02
34	7.200296e+04	4.312790e+01	1.781756e+00	1.049707e+00	8.169669e-05	5.216098e-01	4.591453e-01	3.645892e-01	2.039743e-02	-7.315580e-02	-3.297047e-02
35	7.200295e+04	4.438206e+01	1.819705e+00	1.065020e+00	-8.413981e-05	5.213447e-01	4.572463e-01	3.648561e-01	1.866625e-02	-7.301972e-02	-3.233136e-02
36	7.200309e+04	4.562483e+01	1.856782e+00	1.079821e+00	6.368012e-05	5.208794e-01	4.557065e-01	3.649611e-01	1.688359e-02	-7.281725e-02	-3.168361e-02
37	7.200324e+04	4.687191e+01	1.893270e+00	1.094177e+00	-6.134257e-05	5.203758e-01	4.541924e-01	3.649845e-01	1.514967e-02	-7.263996e-02	-3.102679e-02
38	7.200378e+04	4.812636e+01	1.929286e+00	1.108171e+00	4.189197e-05	5.199627e-01	4.528117e-01	3.648695e-01	1.357906e-02	-7.239903e-02	-3.036975e-02
39	7.200376e+04	4.938316e+01	1.964649e+00	1.121765e+00	-5.314975e-05	5.197346e-01	4.520206e-01	3.647207e-01	1.232502e-02	-7.219601e-02	-2.972588e-02
40	7.200414e+04	5.062899e+01	1.999424e+00	1.134870e+00	4.442401e-05	5.197751e-01	4.512582e-01	3.643954e-01	1.112796e-02	-7.195434e-02	-2.908596e-02
41	7.200419e+04	5.187096e+01	2.034017e+00	1.147687e+00	-4.938272e-05	5.199376e-01	4.503558e-01	3.640803e-01	1.004095e-02	-7.177144e-02	-2.846793e-02
42	7.200458e+04	5.312433e+01	2.068494e+00	1.160535e+00	4.109782e-05	5.198834e-01	4.497017e-01	3.637393e-01	9.062880e-03	-7.156272e-02	-2.784631e-02
43	7.200457e+04	5.438137e+01	2.102994e+00	1.172983e+00	-5.274478e-05	5.197443e-01	4.492868e-01	3.633680e-01	8.013732e-03	-7.139754e-02	-2.725554e-02
44	7.200427e+04	5.563274e+01	2.137164e+00	1.185036e+00	4.472079e-05	5.193486e-01	4.486656e-01	3.630522e-01	7.059918e-03	-7.121177e-02	-2.666437e-02
45	7.200415e+04	5.687240e+01	2.170827e+00	1.197042e+00	-6.190025e-05	5.186861e-01	4.482245e-01	3.628108e-01	5.964851e-03	-7.104611e-02	-2.609899e-02
46	7.200428e+04	5.812349e+01	2.204269e+00	1.208806e+00	6.134185e-05	5.179420e-01	4.478472e-01	3.626583e-01	4.783387e-03	-7.084874e-02	-2.552024e-02
47	7.200430e+04	5.938029e+01	2.237795e+00	1.220094e+00	-8.600307e-05	5.169743e-01	4.476080e-01	3.625739e-01	3.600852e-03	-7.067639e-02	-2.496934e-02
